"copy","name","src",""
"1枚","イーブイ&amp;カビゴンGX","https://www.pokemon-card.com/assets/images/card_images/large/SM9/036010_P_IBUIKABIGONGX.jpg",""
"4枚","コスモッグ","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035505_P_KOSUMOGGU.jpg",""
"2枚","ソルガレオGX","https://www.pokemon-card.com/assets/images/card_images/large/SME/034363_P_SORUGAREOGX.jpg",""
"2枚","ソルガレオGX","https://www.pokemon-card.com/assets/images/card_images/large/SM4p/034298_P_SORUGAREOGX.jpg",""
"2枚","アローラロコン","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035482_P_ARORAROKON.jpg",""
"1枚","アローラキュウコンGX","https://www.pokemon-card.com/assets/images/card_images/large/SM7b/035262_P_ARORAKYUUKONGX.jpg",""
"2枚","ジラーチ","https://www.pokemon-card.com/assets/images/card_images/large/SM8a/035433_P_JIRACHI.jpg",""
"1枚","レジスチル","https://www.pokemon-card.com/assets/images/card_images/large/SM7/034979_P_REJISUCHIRU.jpg",""
"1枚","ダダリン","https://www.pokemon-card.com/assets/images/card_images/large/SM4p/034272_P_DADARIN.jpg",""
"4枚","ハイパーボール","https://www.pokemon-card.com/assets/images/card_images/large/SM9/036024_T_HAIPABORU.jpg",""
"4枚","ふしぎなアメ","https://www.pokemon-card.com/assets/images/card_images/large/SM6b/034910_T_FUSHIGINAAME.jpg",""
"3枚","まんたんのくすり","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035578_T_MANTANNOKUSURI.jpg",""
"1枚","こだわりハチマキ","https://www.pokemon-card.com/assets/images/card_images/large/SM9/036038_T_KODAWARIHACHIMAKI.jpg",""
"2枚","エスケープボード","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035582_T_ESUKEPUBODO.jpg",""
"2枚","あなぬけのヒモ","https://www.pokemon-card.com/assets/images/card_images/large/SM9/036021_T_ANANUKENOHIMO.jpg",""
"3枚","ネストボール","https://www.pokemon-card.com/assets/images/card_images/large/SMI/035921_T_NESUTOBORU.jpg",""
"1枚","レスキュータンカ","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035580_T_RESUKYUTANKA.jpg",""
"3枚","リーリエ","https://www.pokemon-card.com/assets/images/card_images/large/SMI/035935_T_RIRIE.jpg",""
"1枚","エリカのおもてなし","https://www.pokemon-card.com/assets/images/card_images/large/SM9/036028_T_ERIKANOOMOTENASHI.jpg",""
"2枚","グズマ","https://www.pokemon-card.com/assets/images/card_images/large/SMI/035928_T_GUZUMA.jpg",""
"1枚","アセロラ","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035588_T_ASERORA.jpg",""
"3枚","シロナ","https://www.pokemon-card.com/assets/images/card_images/large/SM9/036030_T_SHIRONA.jpg",""
"2枚","トキワの森","https://www.pokemon-card.com/assets/images/card_images/large/SM9/036035_T_TOKIWANOMORI.jpg",""
"6枚","基本鋼エネルギー","https://www.pokemon-card.com/assets/images/card_images/large/ENE/034673_E_KIHONKOUENERUGI.jpg",""
"2枚","基本フェアリーエネルギー","https://www.pokemon-card.com/assets/images/card_images/large/ENE/034674_E_KIHONYOUENERUGI.jpg",""
"4枚","ダブル無色エネルギー","https://www.pokemon-card.com/assets/images/card_images/large/SM8/035386_E_DABURUMUSHOKUENERUGI.jpg",""
